"","x"
"630",800
"631",363
"632",654
"633",195
"634",1238
"635",274
"636",358
"637",252
"638",20
"639",9
"640",3912
"641",381
"642",53
"643",69
"644",8
"645",11
"646",586
"647",37
"648",246
"649",89
"650",426
"651",21
"652",328
"653",2625
"654",318
"655",47
"656",75
"657",859
"658",348
"659",510
"660",198
"661",984
"662",263
"663",323
"664",256
"665",16
"666",22
"667",4022
"668",287
"669",58
"670",116
"671",11
"672",21
"673",610
"674",33
"675",226
"676",95
"677",496
"678",28
"679",307
"680",1999
"681",331
"682",45
"683",53
"684",859
"685",379
"686",369
"687",121
"688",824
"689",237
"690",243
"691",174
"692",20
"693",34
"694",3837
"695",187
"696",57
"697",81
"698",7
"699",13
"700",645
"701",28
"702",211
"703",74
"704",417
"705",21
"706",389
"707",1512
"708",341
"709",53
"710",64
"711",769
"712",352
"713",303
"714",127
"715",833
"716",170
"717",187
"718",149
"719",6
"720",47
"721",3449
"722",131
"723",49
"724",66
"725",5
"726",12
"727",639
"728",26
"729",185
"730",66
"731",425
"732",15
"733",338
"734",1060
"735",390
"736",28
"737",46
"738",729
"739",318
"740",189
"741",85
"742",633
"743",121
"744",162
"745",95
"746",7
"747",27
"748",2999
"749",143
"750",37
"751",46
"752",9
"753",8
"754",515
"755",19
"756",172
"757",28
"758",330
"759",25
"760",305
"761",914
"762",513
"763",30
"764",57
"765",630
"766",276
"767",116
"768",71
"769",606
"770",110
"771",150
"772",61
"773",5
"774",61
"775",2507
"776",112
"777",32
"778",38
"779",10
"780",15
"781",460
"782",16
"783",142
"784",32
"785",358
"786",19
"787",267
"788",716
"789",522
"790",27
"791",47
"792",447
"793",240
"794",127
"795",40
"796",446
"797",110
"798",211
"799",67
"800",5
"801",36
"802",1877
"803",117
"804",23
"805",42
"806",12
"807",5
"808",361
"809",16
"810",176
"811",17
"812",435
"813",31
"814",246
"815",690
"816",473
"817",21
"818",30
"819",347
"820",122
"821",79
"822",47
"823",334
"824",96
"825",99
"826",36
"827",10
"828",39
"829",1426
"830",118
"831",13
"832",35
"833",10
"834",4
"835",205
"836",9
"837",129
"838",16
"839",386
"840",28
"841",228
"842",480
"843",515
"844",12
"845",36
"846",264
"847",104
"848",51
"849",29
"850",211
"851",80
"852",119
"853",23
"854",8
"855",25
"856",1097
"857",109
"858",14
"859",35
"860",5
"861",5
"862",160
"863",11
"864",119
"865",13
"866",258
"867",28
"868",119
"869",360
"870",475
"871",15
"872",15
"873",210
"874",89
"875",40
"876",16
"877",121
"878",97
"879",62
"880",7
"881",4
"882",25
"883",748
"884",88
"885",9
"886",23
"887",3
"888",1
"889",109
"890",4
"891",95
"892",14
"893",258
"894",37
"895",119
"896",329
"897",544
"898",6
"899",18
"900",180
"901",76
"902",32
"903",16
"904",100
"905",66
"906",57
"907",14
"908",5
"909",12
"910",750
"911",67
"912",7
"913",26
"914",8
"915",2
"916",102
"917",11
"918",91
"919",21
"920",264
"921",37
"922",105
"923",260
"924",428
"925",10
"926",7
"927",156
"928",49
"929",28
"930",15
"931",86
"932",78
"933",45
"934",10
"935",4
"936",20
"937",648
"938",62
"939",2
"940",33
"941",9
"942",0
"943",75
"944",7
"945",77
"946",8
"947",276
"948",34
"949",82
"950",214
"951",351
"952",6
"953",10
"954",102
"955",25
"956",32
"957",8
"958",48
"959",85
"960",22
"961",12
"962",7
"963",12
"964",332
"965",79
"966",3
"967",25
"968",10
"969",2
"970",59
"971",12
"972",64
"973",16
"974",197
"975",39
"976",115
"977",149
"978",294
"979",4
"980",13
"981",95
"982",27
"983",27
"984",6
"985",32
"986",66
"987",16
"988",10
"989",4
"990",13
"991",237
"992",58
"993",4
"994",33
"995",7
"996",2
"997",42
"998",4
"999",51
"1000",4
"1001",142
"1002",29
"1003",57
"1004",169
"1005",231
"1006",7
"1007",15
"1008",70
"1009",16
"1010",23
"1011",10
"1012",21
"1013",60
"1014",18
"1015",13
"1016",9
"1017",12
"1018",248
"1019",49
"1020",5
"1021",12
"1022",9
"1023",0
"1024",54
"1025",2
"1026",42
"1027",4
"1028",147
"1029",23
"1030",72
"1031",134
"1032",193
"1033",4
"1034",9
"1035",42
"1036",15
"1037",28
"1038",6
"1039",14
"1040",69
"1041",15
"1042",8
"1043",2
"1044",6
"1045",215
"1046",53
"1047",4
"1048",21
"1049",11
"1050",0
"1051",42
"1052",10
"1053",17
"1054",1
"1055",132
"1056",29
"1057",37
"1058",148
"1059",142
"1060",5
"1061",10
"1062",46
"1063",10
"1064",21
"1065",10
"1066",19
"1067",71
"1068",9
"1069",8
"1070",5
"1071",3
"1072",174
"1073",35
"1074",4
"1075",22
"1076",9
"1077",3
"1078",30
"1079",3
"1080",15
